Deal ID,Deal Name,Company name,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Company Domain Name,Restaurant Address
19085598772,BRY'S BAGELS,BRY'S BAGELS,LA,brysbagels.com,
19085633370,"CREPES & SHAKES LA,","CREPES & SHAKES LA,",LA,,
19085659914,LUMPIA MANIA,LUMPIA MANIA,LA,lumpiamania.com,905 East Arrow Highway
19085659915,Made in New York Pizza West Village,Made in New York Pizza West Village,NYC,madeinnewyorkpizza.com,271 Amsterdam Ave
19085708817,LIMONÉ MEDITERRANEAN,LIMONÉ MEDITERRANEAN,LA,limonemediterranean.com,
19085722687,Made in New York Pizza UWS 271,Made in New York Pizza UWS 271,NYC,,
19085792605,THE TACO MAN,THE TACO MAN,LA,thetacoman.com,2502 South Euclid Avenue
19086594956,Rowdy Rooster Midtown,Rowdy Rooster (Midtown),NYC,uafoods.nyc,149 1st Avenue
19086686519,Made in New York Pizza Midtown,Made in New York Pizza Midtown,NYC,,
19086693008,PENNY COFFEE ROASTER,PENNY COFFEE ROASTER,LA,pennycoffeeroasters.com,905 East Arrow Highway
19086706215,Peter Luger,Peter Luger,,peterluger.com,178 Broadway
19086733159,BOBA BREAK TEA HOUSE,BOBA BREAK TEA HOUSE,LA,bobabreak.online,
19086785188,Made in New York Pizza UWS 421,Made in New York Pizza UWS 421,NYC,,
19086843414,Empellon Taqueria Waterline Square,Empellon Taqueria Waterline Square,NYC,,
19086843415,Frenchette,Frenchette Group,Manhattan,frenchettenyc.com,"241 W Broadway, New York, NY 10013"
19086892358,DOG HAUS,Dog Haus,LA,doghaus.com,93 E Green St
19086892359,THE GOLDEN EATERY,THE GOLDEN EATERY,LA,thegoldeneatery.com,201 East 4th Street
19086909768,BUSHI BY JINYA,BUSHI BY JINYA,LA,bushibyjinya.com,905 East Arrow Highway
19086909771,SMOG CITY BREWING,SMOG CITY BREWING,LA,smogcitybrewing.com,1901 Del Amo Boulevard
19086923915,Noz Market,Noz Market,NYC,nozmarket.com,
19385782080,Javelina Union Square,Javelina Union Square,NYC,javelinatexmex.com,119 East 18th Street
19441711186,Upside Pizza Midtown East ,Upside Pizza Midtown East,NYC,upsidepizza.com,
19441711985,Upside Pizza - UWS ,Upside Pizza - UWS,NYC,upsidepizza.com,
19441712254,Upside Pizza Chelsea ,Upside Pizza Chelsea,NYC,upsidepizza.com,
19441836358,Upside Pizza Greenpoint ,Upside Pizza Greenpoint,NYC,upsidepizza.com,
19441837206,Upside Pizza Garment District ,Upside Pizza Garment District,NYC,upsidepizza.com,640 Manhattan Avenue
19854499001,Rowdy Rooster (EV),Rowdy Rooster (EV),NYC,uafoods.nyc,149 1st Ave.
19933589089,Outer Heaven ,Outer Heaven,NYC,outerheaven.nyc,191 Chrystie Street
20406434824,Boto Pacific Heights,Boto,San Francisco,botosf.com,1853 Union St.
20717196387,Isa Restaurant Marina,Isa Restaurant,SF,isarestaurant.com,3324 Steiner Street
20911921952,Red Hook Tavern,Red Hook Tavern,NYC,redhooktavern.com,329 Van Brunt Street
20967425135,Town's End Brunch ,Town's End Brunch,SF,gmail.com,2 Townsend Street
21049376372,Au Cheval NYC,Au Cheval NYC,New York,hogsalt.com,33 Cortlandt Alley
21249271205,Borrachito ,Borrachito,Boston,thegarretgroup.com,70 Pier 4 Blvd. Suite 270
21447657566,Oceans New York,Oceans New York,NYC,toptable.ca,233 Park Avenue South
22458955903,Hinodeya Ramen-Downtown ,Hinodeya Ramen-Downtown,SF,sasaladining.com,680 Clay St.
23005704061,White Maize (Carrol Gardens) ,White Maize,NYC,whitemaizebk.com,277 Smith St
23141069956,Potluck Club ,Potluck Club,NYC,thepotluckclubny.com,133 Chrystie Street
23178021237,White Maize (Chelsea) ,White Maize,NYC,whitemaizebk.com,277 Smith St
23368677193,Stretch Pizza Williamsburg ,Stretch Pizza (Williamsburg),NYC,stretchpizzanyc.com,"320 Kent Ave Brooklyn, NY 11249"
28219373079,Kaiyo Handroll ,Kaiyo Handroll,SF,bxbhospitality.com,
28225951404,Good Thanks- LES ,Good Thanks- Williamsburg,NYC,goodthanksnyc.com,31 Orchard Street
28531382051,Madam Mikette's ,Madam Mikette's,NYC,gmail.com,987 2nd Ave
28547178805,Novela ,Novela,SF,bxbhospitality.com,662 Mission Street
28547197096,Kitchen at Cobble Hill ,Kitchen at Cobble Hill,NYC,kitchenatcobblehill.com,254 Court St
28554331449,Bacan ,Bacan,NYC,grandbacan.com,"79 Grand St, Brooklyn, NY 11249"
28563602257,Trevino Wine Bar,Trevino Wine Bar,SF,bxbhospitality.com,100 Channel St.
28632249120,Hank's Bar Bk ,X Golf Brooklyn,NYC,xgolfbrooklyn.com,"613 Bushwick Ave, Brooklyn, NY 11206"
28979108151,Claudy's Kitchen Bronx,Claudy's Kitchen Peruvian Restaurant nationwide shipping,NYC,claudys.com,5981 Broadway
30052568136,Binondo ,Binando,NYC,gmail.com,"50 East Broadway New York, NY 10002"
30125624987,Moody Tongue Pizza - Craft Beer Pass,Moody Tongue Pizza,NYC,moodytongue.com,123 st marks pl 
30144965693,BURGERHEAD - East Village ,BURGERHEAD - East Village,NYC,burgerhead.com,"145 2nd Ave, New York, NY "
31632588041,Rose's Cafe ,Rose's Cafe,San Francisco,niceventures.com,"2298 Unmion St., SF, CA 94123"
31632588092,Terzo ,Terzo,San Francisco,niceventures.com,"3011 Steiner St., SF, CA 94123"
31712035216,HighLife ,HighLife,NYC,electricburritonyc.com,"135 1st Ave., New York, NY 10003"
31712037918,NoHo Hospitality Group ,NoHo Hospitality Group,,nhgnyc.com,520 Broadway
32002712999,Apres Cru ,Apres Cru,NYC,aprescru.com,67 East 11th St
32002716589,Sage Hospitality Group ,Sage Hospitality,DEN,sagehospitality.com,"1809 Blake Street, Denver, CO"
32015799364,Sunday Hospitality ,Sunday Hospitality,NYC,sundayhg.com,348 Wythe Avenue
32368938289,Anaïs ,Anaïs,NYC,theoberon.co,"196 Bergen Street
Brooklyn, NY 11217"
